Question_ID,Questions,Answers
1590140,ሕማም ኣእምሮ ምህላው እንታይ ማለት እዩ?,"ሕማማት ኣእምሮ፡ ንሓሳብ ሰብ፡ ስምዒታቱ፡ ዝምድናኡን መዓልታዊ ኣሰራርሓኡን ዝዘርጉ ኩነታት ጥዕና እዮም።"
2110618,ሕማም ኣእምሮ ንመን ይጸልዎ?,"ሕማም ኣእምሮ ንዝኾነ ሰብ ክጸልዎ ይኽእል እዩ፣ ጾታ፣ ዕድመ፣ ኣታዊ፣ ማሕበራዊ ደረጃ፣ ብሄር፣ ሃይማኖት፣ ጾታዊ ዝንባለ ወይ ድሕረ ባይታ ብዘየገድስ። ""
9434130,ገለ ካብቶም ናይ መጠንቀቕታ ምልክታት ሕማም ኣእምሮ እንታይ እዮም?,ምልክታት ጸገማት ጥዕና ኣእምሮ ከከም ዓይነትን ጽንኩርነትን ናይቲ ኩነታት ይፈላለ እዩ።.
7657263,ሕማም ኣእምሮ ዘለዎም ሰባት ክሓውዩ ይኽእሉ ድዮም?,"ካብ ሕማም ኣእምሮ ክትሓዊ ከለኻ፡ ብኣግኡ ምልላይን ሕክምናን ኣዝዩ ኣገዳሲ እዩ። "
1619387,ምልክታት ናይ ኣእምሮ ጸገም ዘለዎ ዝመስል ሰብ እንተፈሊጠ እንታይ ክገብር ኣለኒ?,እዚ ምልክታት ዘለዎ ሰብ እንተፈሊጥካ/ኪ ምስ ኣዕሩኽቱን/ኣዕሩኽታን/ ኣባላት ስድርኡን/ ስድርኣን/ ንኽዛረብ/ንኽትዛረብ/ ምኽሪ ካብ በዓል ሞያ ጥዕና ኣእምሮ ክሓትትን/ክትሓትትን/ ተባብዕ/ተተባብዕ። 
1030153,ከመይ ጌረ ንነብሰይ ወይ ንውላደይ ዝኸውን በዓል ሞያ ጥዕና ኣእምሮ ክረክብ ይኽእል?,ምስቲ ንስኻ ወይ ውላድካ ምስኡ እትሰርሕሉ በዓል ሞያ ምቹእ ስምዒት ምህላው ንዕውትነት እቲ ሕክምና ወሳኒ እዩ።
8022026,እንታይ ዓይነት ኣማራጺታት ሕክምና ኣሎ?,ንሕማም ኣእምሮ ዘለዎም ውልቀሰባት ዝተፈላለዩ ኣማራጺታት ሕክምና ኣለዉ።
1155199,"ኣብ ሕክምና እንተተጸሚደ እንታይ ክፈልጥ ኣለኒ?",ብዝተኻእለ መጠን ኣብ መስርሕ ሕክምና ክትሳተፍን ክትዋፈርን ኣገዳሲ እዩ።
7760466,ኣብ መንጎ ሰብ ሞያ ጥዕና ኣእምሮ እንታይ ፍልልይ ኣለዎ?,"ብዙሓት ዓይነታት ሰብ ሞያ ጥዕና ኣእምሮ ኣለዉ። ዝተፈላለዩ ወሃብቲ ኣገልግሎትን ኣገልግሎታቶምን ምድንጋር ክህልዎም ይኽእል እዩ። ነፍሲ ወከፎም ዝተፈላለየ ደረጃ ትምህርቲ፣ ስልጠና፣ ዝተፈላለየ ዓውዲ ክእለት ክህልዎም ይኽእል እዩ። ንጠለባትካ ብዝበለፀ ዝሰማማዕ በዓል ሞያ ምርካብ ገለ መፅናዕቲ ክሓትት ይኽእል እዩ።."
2553795,ከመይ ጌረ ንውላደይ ወይ ንባዕለይ ዝምጥን በዓል ሞያ ጥዕና ኣእምሮ ክረክብ ይኽእል?,ምስ እቲ ንስኻ ወይ ውላድካ ትሰርሓሉ ዘለኻ በዓል ሞያ ምቹእ ስምዒት ምህላው ንዕውትነት ሕክምናኻ ወሳኒ እዩ። ንጠለባትካ ዝበለጸ ዝሰማማዕ በዓል ሞያ ምርካብ ገለ መጽናዕቲ ከድልዮ ይኽእል እዩ።
1259439,ኣብ ሕክምና እንተተሳቲፈ እንታይ ክፈልጥ ኣለኒ?,ብዝተኻእለ መጠን ኣብ መስርሕ ሕክምና ተሳትፎ ምቕጻል ኣገዳሲ እዩ።
4197817,ካልእ ካበይ ሓገዝ ክረክብ ይኽእል?,"ኣባል ስድራቤት፡ ዓርኪ፡ ኣቕሽሽቲ፡ ወሃቢ ክንክን ጥዕና፡ ወይ ካልኦት ሰብ ሞያ።"
3388962,ሓድሽ መድሃኒት ቅድሚ ምጅማረይ እንታይ ክፈልጥ ኣለኒ?,መድሃኒታት ብዝምልከት እቲ ዝበለጸ ምንጪ ሓበሬታ እቲ ሓኪም ዝእዝዘሎም እዩ።
5343181,"ድሕሪ መድሃኒት ምውሳድ ዝሓሸ ስምዒት እንተተሰሚዑኒ ""ሓዊየ"" ምውሳድ ከቋርጽ ይኽእል ማለት ድዩ?",ዝሓሸ ዝሰማማዕ ናብ ዝተፈላለየ ሕክምና ንምቕያር ውጥን ምፍጣር.
5778437,መድሃኒተይ ንምኽፋል ሓገዝ ብኸመይ ክረክብ ይኽእል?፣ ኣብ ኢትዮጵያ ብዝተፈላለዩ መንገድታት፣ እንተላይ ብኢንስቲትዩት ህዝባዊ ጥዕና ኢትዮጵያ፣ መደባት መድሕን ጥዕና፣ ከምኡ’ውን ከም ማሕበር ቀይሕ መስቀል ኢትዮጵያ ዝኣመሰሉ ዘይመንግስታውያን ትካላት ሓገዝ ክትደልዩ ትኽእሉ ኢኹም። ከምኡ’ውን ንተቓላዕቲ ህዝቢ ዝኸውን መደባት ክትድህስስ ትኽእል ኢኻ፣ ከም ነቶም ነጻ ወይ ትሑት ዋጋ ዘለዎም መድሃኒታት ዘድልዮም። ነዞም መርበብ ሓበሬታታት https://www.rxassist.org/ ከምኡ’ውን https://mariestopes.org.et/ ክትበጽሑ ትኽእሉ ኢኹም።
9541219,ኣበይ ክኸይድ ይኽእል ፍወሳ ክረክብ፣ሓያሎ ዝተፈላለዩ ዓይነታት ሕክምናን ፍወሳን ክሕግዙ ዝኽእሉ.
